mail,nbAction,segment
a@yopmail.fr,3,1
a@yopmail.fr,3,1
a@yopmail.fr,3,1
b@gmail.com,5,1
b@gmail.com,5,1
b@gmail.com,5,1
b@gmail.com,5,2
b@gmail.com,5,1
bar@yopmail.fr,4,1
bar@yopmail.fr,4,2
bar@yopmail.fr,4,1
bar@yopmail.fr,4,1
batman@gmail.com,1,1
contact@gmail.com,2,1
contact@gmail.com,2,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,2
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,2
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,2
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
eric@yopmail.fr,21,1
et@yopmail.fr,1,1
foo@yopmail.fr,1,1
guillaume@outlook.fr,3,1
guillaume@outlook.fr,3,2
guillaume@outlook.fr,3,1
guitare@gmail.com,1,1
harold@outlook.fr,6,1
harold@outlook.fr,6,1
harold@outlook.fr,6,2
harold@outlook.fr,6,2
harold@outlook.fr,6,2
harold@outlook.fr,6,1
leskateur@gmail.com,1,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,2
nico@outlook.fr,19,1
nico@outlook.fr,19,2
nico@outlook.fr,19,1
nico@outlook.fr,19,2
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
nico@outlook.fr,19,1
olive@yopmail.fr,3,1
olive@yopmail.fr,3,1
olive@yopmail.fr,3,1
olivier@yopmail.fr,1,1
shop@gmail.com,3,1
shop@gmail.com,3,2
shop@gmail.com,3,1
superman@gmail.com,2,1
superman@gmail.com,2,1
tata@gmail.com,7,1
tata@gmail.com,7,2
tata@gmail.com,7,1
tata@gmail.com,7,2
tata@gmail.com,7,1
tata@gmail.com,7,2
tata@gmail.com,7,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,1
thibault@outlook.fr,12,2
thibault@outlook.fr,12,1
titi@gmail.com,3,1
titi@gmail.com,3,1
titi@gmail.com,3,1
tmp@yopmail.fr,1,1
tom@yopmail.fr,1,1
toto@gmail.com,3,1
toto@gmail.com,3,2
toto@gmail.com,3,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,1
toto@yopmail.fr,7,2
user123@mail.fr,12,1
user123@mail.fr,12,2
user123@mail.fr,12,1
user123@mail.fr,12,1
user123@mail.fr,12,2
user123@mail.fr,12,1
user123@mail.fr,12,1
user123@mail.fr,12,1
user123@mail.fr,12,2
user123@mail.fr,12,1
user123@mail.fr,12,1
user123@mail.fr,12,1
user42@mail.fr,3,1
user42@mail.fr,3,2
user42@mail.fr,3,1
utilisateur1@outlook.fr,1,1
yolo@outlook.fr,2,1
yolo@outlook.fr,2,1
